medicamento,lote,validade,quantidade,minimo,categoria,fornecedor
Dipirona 500mg,L2024A,2026-03-15,45,20,Analgésico,Medley
Paracetamol 750mg,L2024B,2026-08-20,60,25,Analgésico,EMS
Ibuprofeno 600mg,L2024C,2024-11-30,12,20,Anti-inflamatório,Eurofarma
Amoxicilina 500mg,L2024D,2024-12-15,8,15,Antibiótico,Sandoz
Azitromicina 500mg,L2024E,2026-05-10,30,10,Antibiótico,Medley
Ciprofloxacino 500mg,L2024F,2025-01-20,6,10,Antibiótico,EMS
Omeprazol 20mg,L2024G,2026-09-01,120,30,Gastroprotetor,Medley
Ranitidina 150mg,L2024H,2025-02-28,18,20,Gastroprotetor,EMS
Metformina 850mg,L2024I,2026-07-15,95,40,Antidiabético,Sandoz
Glibenclamida 5mg,L2024J,2024-12-20,14,20,Antidiabético,Eurofarma
Losartana 50mg,L2024K,2026-04-30,80,35,Anti-hipertensivo,Medley
Enalapril 10mg,L2024L,2025-01-10,22,25,Anti-hipertensivo,EMS
Atenolol 25mg,L2024M,2026-06-15,55,30,Anti-hipertensivo,Sandoz
Sinvastatina 20mg,L2024N,2026-11-20,70,30,Estatina,Medley
Atorvastatina 40mg,L2024O,2025-03-05,9,15,Estatina,EMS
Levotiroxina 50mcg,L2024P,2025-02-10,35,20,Hormônio,Eurofarma
Fluoxetina 20mg,L2024Q,2026-08-25,40,15,Antidepressivo,Sandoz
Sertralina 50mg,L2024R,2026-10-30,28,15,Antidepressivo,Medley
Clonazepam 2mg,L2024S,2025-01-05,7,10,Ansiolítico,EMS
Diazepam 5mg,L2024T,2024-11-15,5,10,Ansiolítico,Sandoz
Loratadina 10mg,L2024U,2026-12-10,90,30,Antialérgico,Medley
Cetirizina 10mg,L2024V,2026-07-20,65,25,Antialérgico,EMS
Salbutamol 100mcg,L2024W,2025-04-15,20,10,Broncodilatador,Eurofarma
Budesonida 200mcg,L2024X,2026-03-25,15,8,Broncodilatador,Sandoz
Dexametasona 4mg,L2024Y,2025-02-20,25,15,Corticoide,Medley
Prednisona 20mg,L2024Z,2026-05-30,38,20,Corticoide,EMS
Captopril 25mg,L2025A,2026-09-15,50,25,Anti-hipertensivo,Eurofarma
Furosemida 40mg,L2025B,2025-03-10,16,20,Diurético,Sandoz
Espironolactona 25mg,L2025C,2026-08-05,42,20,Diurético,Medley
Varfarina 5mg,L2025D,2025-01-25,11,10,Anticoagulante,EMS
